iso,written,corrected
AFG,- Badakshan Province,badakhshan
AFG,Badakhstan,badakhshan
AFG,Badakhstan province,badakhshan
AFG,Badakhstan provinces,badakhshan
AFG,Badakhsthan,badakhshan
AFG,Badakshan,badakhshan
AFG,Daikundi,daykundi
AFG,Dara Pech,daraipech
AFG,Kejran,kijran
AFG,Khawahan districts,khwahan
AFG,Nangarha,nangarhar
AGO,Near Porto Amboin,portoamboim
ALB,Shkadra,shkodra
ARG,Cardoba,cordoba
ARG,Esteban Etcheverria,estebanecheverria
ARG,Near Santiago del Esterro,santiagodelestero
ARG,Near sante Fe,santafe
ARG,Sante FE,santafe
ARG,Sante Fe,santafe
ARG,Sante Fe provinces,santafe
AUS,Queanreyan,queanbeyan
AUS,Towsville Area,townsville
AZE,Kuradamir,kurdamir
AZE,Yardimili districts,yardimli
BDI,Bubamza,bubanza
BDI,Cibitoki,cibitoke
BDI,Murumvya Province,muramvya
BEL,Liege's province,liege
BEN,Acomey-Calavi,abomeycalavi
BEN,Bassilla,bassila
BEN,Karimana,karimama
BFA,Banfofa,banfora
BFA,Barsologo,barsalogo
BFA,Borono,boromo
BFA,Diegougou,diebougou
BFA,Koungoussi,kongoussi
BFA,Koutitenga,kouritenga
BFA,Mangodar,mangodara
BFA,Near Koupèle,koupela
BFA,Outbritenga,oubritenga
BGD,Banderban,bandarban
BGD,Baraguna,barguna
BGD,Begumgang,begumganj
BGD,Borguna districts,barguna
BGD,Chouddagram,chauddagram
BGD,Cox's Bazaar,coxsbazar
BGD,Cox's Bazaar districts,coxsbazar
BGD,Coxbazar,coxsbazar
BGD,Habaganj,habiganj
BGD,Jhalokath,jhalokati
BGD,Joipurhat,joypurhat
BGD,Kishoregang,kishoreganj
BGD,Lalmohon,lalmohan
BGD,Lalmonirat,lalmonirhat
BGD,Manikanj,manikganj
BGD,Munshigan,munshiganj
BGD,Narayangani,narayanganj
BGD,Near Dhamrei,dhamrai
BGD,Near Sirajgang,sirajganj
BGD,Netrokona,netrakona
BGD,Nilhamari,nilphamari
BGD,Nilpamari,nilphamari
BGD,Pathuakhali,patuakhali
BGD,Potuakhali,patuakhali
BGD,Rajshai,rajshahi
BGD,Sadwip,sandwip
BGD,Sathkhira,satkhira
BGD,Siranjganj,sirajganj
BGD,Sitakundu,sitakunda
BGD,Sitakundu districts,sitakunda
BGD,Swandwip,sandwip
BGR,Dupnitsca district,dupnitsa
BGR,Near Svogué,svoge
BGR,Roussa,rousse
BGR,Silista,silistra
BIH,Novo Saranevo,novosarajevo
BLR,Stollin,stolin
BOL,Ascension De Guarayos,ascenciondeguarayos
BOL,Chuquisoca departments,chuquisaca
BOL,Near AQuile,aiquile
BOL,Near Achicachi,achacachi
BOL,Toraque,tiraque
BOL,Tortora,totora
BRA,Angra do Reis,angradosreis
BRA,Barraeiras,barreiras
BRA,Campos de Jordao,camposdojordao
BRA,Caraguatauba,caraguatatuba
BRA,Faznda Rio Grande,fazendariogrande
BRA,Mina Gerais states,minasgerais
BRA,Near Manacupuru,manacapuru
BRA,Pernabuco,pernambuco
BRA,Pobo Branco,pocobranco
BRA,Santa Caterina,santacatarina
BRA,Santa Caterina state,santacatarina
BRA,Sau Paulo,saopaulo
CAF,Bangui 1,bangui
CAF,Bé-Mbari,bambari
CAF,Haute Katto,hautekotto
CAF,Ouaham-Pende,ouhampende
CAN,Bristish Columbia,britishcolumbia
CAN,Britsh Columbia province,britishcolumbia
CAN,Missisauga,mississauga
CAN,Niva Scotia,novascotia
CHL,Antogagasta,antofagasta
CHL,Arica y Painacota province,aricayparinacota
CHL,Arucania,araucania
CHL,Atacamo,atacama
CHL,Melipouco,melipeuco
CHL,Puerto Monte,puertomontt
CHL,Rancegua,rancagua
CHL,Salamnca,salamanca
CHL,Santago,santiago
CHL,Traiguan,traiguen
CHL,Villarica,villarrica
CHN,Chondqing,chongqing
CHN,Chongquing,chongqing
CHN,Fengzen,fengzhen
CHN,Ghizhou,guizhou
CHN,Guangdon province,guangdong
CHN,Guangdon provinces,guangdong
CHN,Guangxci,guangxi
CHN,Gueizhou province,guizhou
CHN,Gungdong provinces,guangdong
CHN,Jiangsy,jiangsu
CHN,Pingdingsham,pingdingshan
CHN,Quinghai,qinghai
CHN,Quinghai province,qinghai
CHN,Sichuang,sichuan
CHN,Tianjian,tianjin
CHN,Xinjiang-Uygar Region,xinjianguygur
CHN,Zangbei County,zhangbei
CHN,Zhejian,zhejiang
CHN,Zhejian provinces,zhejiang
CHN,Zhengzou,zhengzhou
CIV,Toouba,touba
CMR,Mogobe,mogode
COG,Bazzaville,brazzaville
COG,Point-Noire,pointenoire
COK,Palmeston,palmerston
COL,Amboledas,arboledas
COL,Atlantic,atlantico
COL,Barrranquilla,barranquilla
COL,Fresdonia,fredonia
COL,Guainiaz,guainia
COL,Marizales,manizales
COL,Near Carthagena,cartagena
COL,Quindiio,quindio
COL,Santa Rose de Cabal,santarosadecabal
COL,Tolina Department,tolima
COL,Villavicencia,villavicencio
COL,valle de Cauca,valledelcauca
COM,Grande Comores,grandecomore
CUB,Las Tuna,lastunas
CUB,Mantanzas,matanzas
CUB,Monati,manati
CUB,Sancti Spiritu,sanctispiritus
CUB,Santigo de Cuba,santiagodecuba
DEU,Ahlsfeld,alsfeld
DEU,Near Heildelberg,heidelberg
DEU,Searbrucken,saarbrucken
DOM,Barhona,barahona
DOM,Barohona,barahona
DOM,Duarrte,duarte
DOM,Maria Trinidad Sanches,mariatrinidadsanchez
DZA,Aïn Témuchent,aintemouchent
DZA,Beni Illmane,beniilmane
DZA,Bodj-Bou-Arreridj,bordjbouarreridj
DZA,Boussaada,bousaada
DZA,El Elma,eleulma
DZA,Tlemcem,tlemcen
ECU,Chinchippe.,chinchipe
ECU,Cotapaxi,cotopaxi
ECU,Cotopax,cotopaxi
ECU,Gualapagos,galapagos
ECU,Tunguraha,tungurahua
ECU,Zamora Chincipe,zamorachinchipe
